Item_ID,Book_Page,PDF_Page,Dialect,Dialect_Code,Word_Index,Dhivehi_Word,English_Gloss,POS,Grammar_Analysis,Full_Sentence,English_Sentence_Translation
2,2,6,Addu,A,7,keṇḍī,what it cut was,VERB,PART.PT.+FOC.,gē eḍāś vakara kaṇḍāś gosfei boñdanā keṇḍī hai vakara fiñdanā keṇḍī fī lieśi.,"Having gone to cut wood for building the house, the b.-bird cut teak wood (while) the f.-bird cut rotten brushwood."
2,2,6,Addu,A,8,hai,teak,NOUN,OBL.,gē eḍāś vakara kaṇḍāś gosfei boñdanā keṇḍī hai vakara fiñdanā keṇḍī fī lieśi.,"Having gone to cut wood for building the house, the b.-bird cut teak wood (while) the f.-bird cut rotten brushwood."
2,2,6,Addu,A,9,vakara,wood,NOUN,NOM.,gē eḍāś vakara kaṇḍāś gosfei boñdanā keṇḍī hai vakara fiñdanā keṇḍī fī lieśi.,"Having gone to cut wood for building the house, the b.-bird cut teak wood (while) the f.-bird cut rotten brushwood."
2,2,6,Addu,A,10,fiñdanā,the f.-bird,NOUN,OBL.DEF.,gē eḍāś vakara kaṇḍāś gosfei boñdanā keṇḍī hai vakara fiñdanā keṇḍī fī lieśi.,"Having gone to cut wood for building the house, the b.-bird cut teak wood (while) the f.-bird cut rotten brushwood."
2,2,6,Addu,A,11,keṇḍī,what it cut was,VERB,PART.PT.+FOC.,gē eḍāś vakara kaṇḍāś gosfei boñdanā keṇḍī hai vakara fiñdanā keṇḍī fī lieśi.,"Having gone to cut wood for building the house, the b.-bird cut teak wood (while) the f.-bird cut rotten brushwood."
2,2,6,Addu,A,12,fī,rotten,ADJ,PART.PT.,gē eḍāś vakara kaṇḍāś gosfei boñdanā keṇḍī hai vakara fiñdanā keṇḍī fī lieśi.,"Having gone to cut wood for building the house, the b.-bird cut teak wood (while) the f.-bird cut rotten brushwood."
2,2,6,Addu,A,13,lieśi,brushwood,NOUN,NOM.,gē eḍāś vakara kaṇḍāś gosfei boñdanā keṇḍī hai vakara fiñdanā keṇḍī fī lieśi.,"Having gone to cut wood for building the house, the b.-bird cut teak wood (while) the f.-bird cut rotten brushwood."
2,2,6,Fua Mulaku,F,1,gohofē,having gone,VERB,ABS.I,"gohofē fiñdanu keṇḍī fī lieśi-ai, boñdanu keṇḍī hai vakar-ai.","Having gone, the f.-bird cut rotten brushwood (while) the b.-bird cut all timber."
2,2,6,Fua Mulaku,F,2,fiñdanu,f.-bird,NOUN,OBL.,"gohofē fiñdanu keṇḍī fī lieśi-ai, boñdanu keṇḍī hai vakar-ai.","Having gone, the f.-bird cut rotten brushwood (while) the b.-bird cut all timber."
2,2,6,Fua Mulaku,F,3,keṇḍī,what he cut was,VERB,PART.PT.+FOC.,"gohofē fiñdanu keṇḍī fī lieśi-ai, boñdanu keṇḍī hai vakar-ai.","Having gone, the f.-bird cut rotten brushwood (while) the b.-bird cut all timber."
2,2,6,Fua Mulaku,F,4,fī,rotten,ADJ,PART.PT.,"gohofē fiñdanu keṇḍī fī lieśi-ai, boñdanu keṇḍī hai vakar-ai.","Having gone, the f.-bird cut rotten brushwood (while) the b.-bird cut all timber."
2,2,6,Fua Mulaku,F,5,lieśi,brushwood,NOUN,NOM.,"gohofē fiñdanu keṇḍī fī lieśi-ai, boñdanu keṇḍī hai vakar-ai.","Having gone, the f.-bird cut rotten brushwood (while) the b.-bird cut all timber."
2,2,6,Fua Mulaku,F,6,ai,they say,QPARTC,EXT.,"gohofē fiñdanu keṇḍī fī lieśi-ai, boñdanu keṇḍī hai vakar-ai.","Having gone, the f.-bird cut rotten brushwood (while) the b.-bird cut all timber."
2,2,6,Fua Mulaku,F,7,boñdanu,b.-bird,NOUN,OBL.,"gohofē fiñdanu keṇḍī fī lieśi-ai, boñdanu keṇḍī hai vakar-ai.","Having gone, the f.-bird cut rotten brushwood (while) the b.-bird cut all timber."
2,2,6,Fua Mulaku,F,8,keṇḍī,what he cut was,VERB,PART.PT.+FOC.,"gohofē fiñdanu keṇḍī fī lieśi-ai, boñdanu keṇḍī hai vakar-ai.","Having gone, the f.-bird cut rotten brushwood (while) the b.-bird cut all timber."
2,2,6,Fua Mulaku,F,9,hai,all,PRON,ATTR.,"gohofē fiñdanu keṇḍī fī lieśi-ai, boñdanu keṇḍī hai vakar-ai.","Having gone, the f.-bird cut rotten brushwood (while) the b.-bird cut all timber."
2,2,6,Fua Mulaku,F,10,vakaro,timber,NOUN,NOM.,"gohofē fiñdanu keṇḍī fī lieśi-ai, boñdanu keṇḍī hai vakar-ai.","Having gone, the f.-bird cut rotten brushwood (while) the b.-bird cut all timber."
2,2,6,Fua Mulaku,F,11,ai,they say,QPARTC,EXT.,"gohofē fiñdanu keṇḍī fī lieśi-ai, boñdanu keṇḍī hai vakar-ai.","Having gone, the f.-bird cut rotten brushwood (while) the b.-bird cut all timber."
3,3,7,Addu,A,1,kaṇḍagen,cutting,VERB,ABS.III,kaṇḍagen ās de verie de gē eḍafie.,"Having come back from cutting (wood), they built their two houses."
3,3,7,Addu,A,2,ās,coming,VERB,ABS.,kaṇḍagen ās de verie de gē eḍafie.,"Having come back from cutting (wood), they built their two houses."
3,3,7,Addu,A,3,de,two,CARD,ATTR.,kaṇḍagen ās de verie de gē eḍafie.,"Having come back from cutting (wood), they built their two houses."
3,3,7,Addu,A,4,verie,people,NOUN,NOM.PL.,kaṇḍagen ās de verie de gē eḍafie.,"Having come back from cutting (wood), they built their two houses."
3,3,7,Addu,A,5,de,two,CARD,ATTR.,kaṇḍagen ās de verie de gē eḍafie.,"Having come back from cutting (wood), they built their two houses."
3,3,7,Addu,A,6,gē,house,NOUN,NOM.,kaṇḍagen ās de verie de gē eḍafie.,"Having come back from cutting (wood), they built their two houses."
3,3,7,Addu,A,7,eḍafie,they built,VERB,PT.I.3PL.,kaṇḍagen ās de verie de gē eḍafie.,"Having come back from cutting (wood), they built their two houses."
3,3,7,Fua Mulaku,F,1,fiñdanu,f.-bird,NOUN,OBL.,fiñdanu gē eḍī raḷo jahā faśi-ai.,The f.-bird built his house at the place just where the waves reach.
3,3,7,Fua Mulaku,F,2,gē,house,NOUN,NOM.,fiñdanu gē eḍī raḷo jahā faśi-ai.,The f.-bird built his house at the place just where the waves reach.
3,3,7,Fua Mulaku,F,3,eḍī,where he built was,VERB,PART.PT.+FOC.,fiñdanu gē eḍī raḷo jahā faśi-ai.,The f.-bird built his house at the place just where the waves reach.
3,3,7,Fua Mulaku,F,4,raḷo,wave,NOUN,OBL.,fiñdanu gē eḍī raḷo jahā faśi-ai.,The f.-bird built his house at the place just where the waves reach.
3,3,7,Fua Mulaku,F,5,jahā,hitting,VERB,PART.PRS.,fiñdanu gē eḍī raḷo jahā faśi-ai.,The f.-bird built his house at the place just where the waves reach.
3,3,7,Fua Mulaku,F,6,faśi,beginning (place),NOUN,LOC.,fiñdanu gē eḍī raḷo jahā faśi-ai.,The f.-bird built his house at the place just where the waves reach.
3,3,7,Fua Mulaku,F,7,ai,they say,QPARTC,EXT.,fiñdanu gē eḍī raḷo jahā faśi-ai.,The f.-bird built his house at the place just where the waves reach.
3a,3,7,Fua Mulaku,F,1,boṇḍanu,b.-bird,NOUN,OBL.,boṇḍanu gē eḍī eggami-ai.,The b.-bird built his house inside the land.
3a,3,7,Fua Mulaku,F,2,gē,house,NOUN,NOM.,boṇḍanu gē eḍī eggami-ai.,The b.-bird built his house inside the land.
3a,3,7,Fua Mulaku,F,3,eḍī,where he built was,VERB,PART.PT.+FOC.,boṇḍanu gē eḍī eggami-ai.,The b.-bird built his house inside the land.
3a,3,7,Fua Mulaku,F,4,eggami,within the populated area,NOUN,LOC.,boṇḍanu gē eḍī eggami-ai.,The b.-bird built his house inside the land.
3a,3,7,Fua Mulaku,F,5,ai,they say,QPARTC,EXT.,boṇḍanu gē eḍī eggami-ai.,The b.-bird built his house inside the land.
4,3,7,Male',M,1,aḷaigen,Having built,VERB,ABS.III,aḷaigen uḷeni koś ek reaku ai vilāgaḍeggai fiñdanfuḷu ge veṭṭijje eve.,"After having built (the houses) and having lived on (like this), in a rain shower which had come one night, the f.-bird’s house collapsed."
4,3,7,Male',M,2,uḷeni,living,VERB,PART.PRS.,aḷaigen uḷeni koś ek reaku ai vilāgaḍeggai fiñdanfuḷu ge veṭṭijje eve.,"After having built (the houses) and having lived on (like this), in a rain shower which had come one night, the f.-bird’s house collapsed."
4,3,7,Male',M,3,koś,making,VERB,ABS.,aḷaigen uḷeni koś ek reaku ai vilāgaḍeggai fiñdanfuḷu ge veṭṭijje eve.,"After having built (the houses) and having lived on (like this), in a rain shower which had come one night, the f.-bird’s house collapsed."
4,3,7,Male',M,4,ek,one,CARD,ATTR.,aḷaigen uḷeni koś ek reaku ai vilāgaḍeggai fiñdanfuḷu ge veṭṭijje eve.,"After having built (the houses) and having lived on (like this), in a rain shower which had come one night, the f.-bird’s house collapsed."
4,3,7,Male',M,5,reaku,in night,NOUN,OBL.SG.,aḷaigen uḷeni koś ek reaku ai vilāgaḍeggai fiñdanfuḷu ge veṭṭijje eve.,"After having built (the houses) and having lived on (like this), in a rain shower which had come one night, the f.-bird’s house collapsed."
4,3,7,Male',M,6,ai,having come,VERB,PART.PT.,aḷaigen uḷeni koś ek reaku ai vilāgaḍeggai fiñdanfuḷu ge veṭṭijje eve.,"After having built (the houses) and having lived on (like this), in a rain shower which had come one night, the f.-bird’s house collapsed."
4,3,7,Male',M,7,vilāgaḍeggai,in a rain cloud,NOUN,LOC.SG.INDEF.,aḷaigen uḷeni koś ek reaku ai vilāgaḍeggai fiñdanfuḷu ge veṭṭijje eve.,"After having built (the houses) and having lived on (like this), in a rain shower which had come one night, the f.-bird’s house collapsed."
4,3,7,Male',M,8,fiñdanfuḷu,f.-bird,NOUN,OBL.SG.,aḷaigen uḷeni koś ek reaku ai vilāgaḍeggai fiñdanfuḷu ge veṭṭijje eve.,"After having built (the houses) and having lived on (like this), in a rain shower which had come one night, the f.-bird’s house collapsed."
4,3,7,Male',M,9,ge,house,NOUN,NOM.SG.,aḷaigen uḷeni koś ek reaku ai vilāgaḍeggai fiñdanfuḷu ge veṭṭijje eve.,"After having built (the houses) and having lived on (like this), in a rain shower which had come one night, the f.-bird’s house collapsed."
4,3,7,Male',M,10,veṭṭijje,collapsed,VERB,PT.IV.3SG.,aḷaigen uḷeni koś ek reaku ai vilāgaḍeggai fiñdanfuḷu ge veṭṭijje eve.,"After having built (the houses) and having lived on (like this), in a rain shower which had come one night, the f.-bird’s house collapsed."
4,3,7,Male',M,11,eve,they say,QPARTC,EXT.,aḷaigen uḷeni koś ek reaku ai vilāgaḍeggai fiñdanfuḷu ge veṭṭijje eve.,"After having built (the houses) and having lived on (like this), in a rain shower which had come one night, the f.-bird’s house collapsed."
4,3,7,Addu,A,1,ek,one,CARD,ATTR.,ek reaki gada vissāra āsei fiñdanā fī lieśin eḍi gē uduhige.,"One night, when a heavy rain came, the house the f.-bird had built with rotten brushwood flew away."
4,3,7,Addu,A,2,reaki,at a night,NOUN,LOC.INDEF.,ek reaki gada vissāra āsei fiñdanā fī lieśin eḍi gē uduhige.,"One night, when a heavy rain came, the house the f.-bird had built with rotten brushwood flew away."
4,3,7,Addu,A,3,gada,strong,ADJ,ATTR.,ek reaki gada vissāra āsei fiñdanā fī lieśin eḍi gē uduhige.,"One night, when a heavy rain came, the house the f.-bird had built with rotten brushwood flew away."
4,3,7,Addu,A,4,vissāra,rain,NOUN,OBL.,ek reaki gada vissāra āsei fiñdanā fī lieśin eḍi gē uduhige.,"One night, when a heavy rain came, the house the f.-bird had built with rotten brushwood flew away."
4,3,7,Addu,A,5,āsei,coming,VERB,ABS.I,ek reaki gada vissāra āsei fiñdanā fī lieśin eḍi gē uduhige.,"One night, when a heavy rain came, the house the f.-bird had built with rotten brushwood flew away."
4,3,7,Addu,A,6,fiñdanā,the f.-bird,NOUN,OBL.DEF.,ek reaki gada vissāra āsei fiñdanā fī lieśin eḍi gē uduhige.,"One night, when a heavy rain came, the house the f.-bird had built with rotten brushwood flew away."
4,3,7,Addu,A,7,fī,rotten,ADJ,PART.PT.,ek reaki gada vissāra āsei fiñdanā fī lieśin eḍi gē uduhige.,"One night, when a heavy rain came, the house the f.-bird had built with rotten brushwood flew away."
4,3,7,Addu,A,8,lieśin,from brushwood,NOUN,ABL.,ek reaki gada vissāra āsei fiñdanā fī lieśin eḍi gē uduhige.,"One night, when a heavy rain came, the house the f.-bird had built with rotten brushwood flew away."
4,3,7,Addu,A,9,eḍi,built,VERB,PART.PT.,ek reaki gada vissāra āsei fiñdanā fī lieśin eḍi gē uduhige.,"One night, when a heavy rain came, the house the f.-bird had built with rotten brushwood flew away."
4,3,7,Addu,A,10,gē,house,NOUN,NOM.,ek reaki gada vissāra āsei fiñdanā fī lieśin eḍi gē uduhige.,"One night, when a heavy rain came, the house the f.-bird had built with rotten brushwood flew away."
4,3,7,Addu,A,11,uduhige,it flew up,VERB,PT.IV.3SG.,ek reaki gada vissāra āsei fiñdanā fī lieśin eḍi gē uduhige.,"One night, when a heavy rain came, the house the f.-bird had built with rotten brushwood flew away."
4,3,7,Fua Mulaku,F,1,fiñdanu,f.-bird,NOUN,OBL.,fiñdanu gē eḍāgen nidanna ot vēlai raḷo jahā miu bolaha gē veṭṭīge-ai.,"When the f.-bird was about to sleep after having built his house, a wave struck and so the house fell on his head."
4,3,7,Fua Mulaku,F,2,gē,house,NOUN,NOM.,fiñdanu gē eḍāgen nidanna ot vēlai raḷo jahā miu bolaha gē veṭṭīge-ai.,"When the f.-bird was about to sleep after having built his house, a wave struck and so the house fell on his head."
4,3,7,Fua Mulaku,F,3,eḍāgen,having built,VERB,ABS.III,fiñdanu gē eḍāgen nidanna ot vēlai raḷo jahā miu bolaha gē veṭṭīge-ai.,"When the f.-bird was about to sleep after having built his house, a wave struck and so the house fell on his head."
4,3,7,Fua Mulaku,F,4,nidanna,to sleep,VERB,INF.,fiñdanu gē eḍāgen nidanna ot vēlai raḷo jahā miu bolaha gē veṭṭīge-ai.,"When the f.-bird was about to sleep after having built his house, a wave struck and so the house fell on his head."
4,3,7,Fua Mulaku,F,5,ot,being,VERB,PART.PRS.,fiñdanu gē eḍāgen nidanna ot vēlai raḷo jahā miu bolaha gē veṭṭīge-ai.,"When the f.-bird was about to sleep after having built his house, a wave struck and so the house fell on his head."
4,3,7,Fua Mulaku,F,6,vēlai,at time,NOUN,LOC.,fiñdanu gē eḍāgen nidanna ot vēlai raḷo jahā miu bolaha gē veṭṭīge-ai.,"When the f.-bird was about to sleep after having built his house, a wave struck and so the house fell on his head."
4,3,7,Fua Mulaku,F,7,raḷo,wave,NOUN,NOM.,fiñdanu gē eḍāgen nidanna ot vēlai raḷo jahā miu bolaha gē veṭṭīge-ai.,"When the f.-bird was about to sleep after having built his house, a wave struck and so the house fell on his head."
4,3,7,Fua Mulaku,F,8,jahā,hitting,VERB,ABS.,fiñdanu gē eḍāgen nidanna ot vēlai raḷo jahā miu bolaha gē veṭṭīge-ai.,"When the f.-bird was about to sleep after having built his house, a wave struck and so the house fell on his head."
4,3,7,Fua Mulaku,F,9,miu,this one's,DPRON,OBL.,fiñdanu gē eḍāgen nidanna ot vēlai raḷo jahā miu bolaha gē veṭṭīge-ai.,"When the f.-bird was about to sleep after having built his house, a wave struck and so the house fell on his head."
4,3,7,Fua Mulaku,F,10,bolaha,to head,NOUN,DAT.,fiñdanu gē eḍāgen nidanna ot vēlai raḷo jahā miu bolaha gē veṭṭīge-ai.,"When the f.-bird was about to sleep after having built his house, a wave struck and so the house fell on his head."
4,3,7,Fua Mulaku,F,11,gē,house,NOUN,NOM.,fiñdanu gē eḍāgen nidanna ot vēlai raḷo jahā miu bolaha gē veṭṭīge-ai.,"When the f.-bird was about to sleep after having built his house, a wave struck and so the house fell on his head."
4,3,7,Fua Mulaku,F,12,veṭṭīge,fell,VERB,PT.IV.3SG.,fiñdanu gē eḍāgen nidanna ot vēlai raḷo jahā miu bolaha gē veṭṭīge-ai.,"When the f.-bird was about to sleep after having built his house, a wave struck and so the house fell on his head."
4,3,7,Fua Mulaku,F,13,ai,they say,QPARTC,EXT.,fiñdanu gē eḍāgen nidanna ot vēlai raḷo jahā miu bolaha gē veṭṭīge-ai.,"When the f.-bird was about to sleep after having built his house, a wave struck and so the house fell on his head."
